scheme_name,eligibility_text,question,actual_data,normal_question,abc,A,B,C,D
Mukhyamantri Samekit Chaur Vikas Yojana,Private landowner or lessee in Chaur-dominated districts,Are you a private landowner or legal lessee in a Chaur-dominated district?,Other,Private landowner or lessee in Chaur-dominated districts?,,Which district do you currently live in?,-,-,-
Mukhyamantri Shramshakti Yojana,Belong to a minority community,Do you belong to the following category: MINORITY?,Belong to_minority community,Belong to a minority community?,,Do you belong to a minority community?,-,-,-
Mukhyamantri Shramshakti Yojana,Age between 18 and 45 years,Are you age between 18 and 45 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Shramshakti Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Shramshakti Yojana,"Annual family income less than ₹4,50,000",Is your annual family income less than or equal to ₹4?,Family Income Annual,"Annual family income less than ₹4,50,000?",,Annual family income ?,-,-,-
Mukhyamantri Vas Sthal Kray Sahayata Yojana,Listed as a beneficiary under PMAY-G,Are you listed as a beneficiary under PMAY-G?,Other - Listed as a beneficiary under PMAY-G,Listed as a beneficiary under PMAY-G?,,Listed as a beneficiary under PMAY-G?,-,-,-
Mukhyamantri Vas Sthal Kray Sahayata Yojana,Landless and houseless,How many acres of land does the person own?,Landless and houseless,Landless and houseless?,,How many acres of land do you own or not own?,Also house own or not?,-,-
Mukhyamantri Vas Sthal Kray Sahayata Yojana,Reside in a village with no available government land for housing,Do you reside in a village where no government land is available for housing?,Reside in- village with no available government land for housing,Reside in a village with no available government land for housing?,,Where do you currently live?,Live in a village where government land for housing is not available,-,-
Mukhyamantri Vidyarthi Protsahan Yojana,Minority student resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Vidyarthi Protsahan Yojana,Passed Matric/Inter/Fauquania/Maulvi with first-class marks,Have you completed the required educational qualification (Passed Matric/Inter/Fauquania/Maulvi with first-class marks)?,Educational qualification: (Matric/Inter/Fauquania/Maulvi with first-class marks),Passed Matric/Inter/Fauquania/Maulvi with first-class marks?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Vidyarthi Protsahan Yojana,Passed from Bihar School Examination Board or Bihar Madrasa Education Board,Have you completed the required educational qualification (Passed from Bihar School Examination Board or Bihar Madrasa Education Board)?,Educational qualification: (From Bihar School Examination Board or Bihar Madrasa Education Board),Passed from Bihar School Examination Board or Bihar Madrasa Education Board?,,What is your current / highest education level?,Passed from Bihar School Examination Board or Bihar Madrasa Education Board?,-,-
Mukhyamantri Vridhjan Pension Yojna,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Vridhjan Pension Yojna,Not a retired government employee,Does the following apply to you: Not a retired government employee?,occupation_Employment - retired government employee,Not a retired government employee?,,occupation,employment ,"Government / PSU employee,Semi-government employee,Private sector employee,Self-employed, retired government officer)",-
Mukhyamantri Vridhjan Pension Yojna,Not receiving any other government/social security pension,Does the following apply to you: Not receiving any other government/social security pension?,occupation_Employment - pension,Not receiving any other government/social security pension?,,occupation,employment ,Are you currently receiving any other government or social-security pension?,-
Mukhyamantri Vridhjan Pension Yojna,Aged 60 years or above,Are you aged 60 years or above?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Vyavsayik Pathyakram Margdarshan Evam Utpreran Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Vyavsayik Pathyakram Margdarshan Evam Utpreran Yojana,"Annual family income not exceeding ₹3,00,000",Is your annual family income less than or equal to ₹3?,Family Income Annual,"Annual family income not exceeding ₹3,00,000?",,Annual family income ?,-,-,-
Mukhyamantri Vyavsayik Pathyakram Margdarshan Evam Utpreran Yojana,Meet minimum qualifications for competitive exams,Do you meet the minimum qualification criteria required for the competitive examination?,Educational qualification: (Meet minimum qualifications for competitive exams),Meet minimum qualifications for competitive exams?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Vyavsayik Pathyakram Margdarshan Evam Utpreran Yojana,Belong to BC or EBC category,"Do you belong to the following category: BC, EBC?",Belong to_Backward Class (BC) or Extremely Backward Class (EBC),Belong to BC or EBC category?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Yuva Udyami Yojana,Age between 18 and 50 years,Are you age between 18 and 50 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Yuva Udyami Yojana,Male applicant from General or Backward Class,Do you belong to the following category: GENERAL?,Belong to_General or Backward Class,Male applicant from General or Backward Class?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Yuva Udyami Yojana,"Educational qualification: 10+2, ITI, or Polytechnic Diploma","Have you passed at least one of the following qualifications: 10+2, Iti, Polytechnic Diploma?","Educational qualification: (12th, ITI, or Polytechnic Diploma, other)","Educational qualification: 10+2, ITI, or Polytechnic Diploma?",,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Yuva Udyami Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Yuva Udyami Yojana,Business unit must be a proprietorship or partnership firm,Are you business unit must be a proprietorship or partnership firm?,Occupation - Business - proprietorship or partnership,Business unit must be a proprietorship or partnership firm?,,occupation,Business,"Business type - Proprietorship, Partnership",-
Mushroom Kit Vitaran,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mushroom Kit Vitaran,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Mushroom Kit Vitaran,Not benefited in last 3 years,Are you not benefited in last 3 years?,Other,Not benefited in last 3 years?,,,-,-,-
Mushroom Kit Vitaran,One member per family,"Has any other member of your family already applied for the ""Mushroom Kit Vitaran"" scheme?",Other  - One member per family,One member per family?,,,-,-,-
Mushroom Kit Vitaran,Farmer,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Nariwal Paudha Vitaran Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Nariwal Paudha Vitaran Yojana,Registered farmer on the DBT portal,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Nariwal Paudha Vitaran Yojana,Interested in planting coconut saplings,Are you interested in planting coconut saplings?,occupation_farmer,Interested in planting coconut saplings?,,occupation,Farmer,Interested in planting coconut saplings?,-
National Family Benefit Scheme- Bihar,Deceased aged between 18 and 60 years at time of death,Is your age between 18 and 60 years?,Death - Age,Deceased aged between 18 and 60 years at time of death?,,Has there been a death in the family for which you want to apply?,What was the age of the deceased at the time of death?,-,-
National Family Benefit Scheme- Bihar,Family living Below Poverty Line (BPL),Does your family belong to the Below Poverty Line (BPL) category?,Belong to_Below Poverty Line (BPL) family,Family living Below Poverty Line (BPL)?,,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
National Family Benefit Scheme- Bihar,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
National Family Benefit Scheme- Bihar,Dependent of deceased primary breadwinner,Are you dependent of deceased primary breadwinner?,Death (Dependent family member),Dependent of deceased primary breadwinner?,,Has there been a death in the family for which you want to apply?,"What is your relationship with the deceased? (Legal heir,Dependent family member,Not a legal heir / dependent)",-,-
Niji Talabon Ka Jirnoddhar Ki Yojana,Private pond owner or lessee,Do you own or lease the required land/pond as described (Private pond owner or lessee)?,Other - Pond,Private pond owner or lessee?,,Do you own or lease land for fish pond construction?,-,-,-
Niji Talabon Ka Jirnoddhar Ki Yojana,Pond not renovated under govt scheme in last 5 years,Do you own or lease the required land/pond as described (Pond not renovated under govt scheme in last 5 years)?,Other - Pond,Pond not renovated under govt scheme in last 5 years?,,Do you own or lease land for fish pond construction?,Pond not renovated under govt scheme in last 5 years?,-,-
Niji Talabon Ka Jirnoddhar Ki Yojana,Pond size between 0.10 and 0.5 hectare,Do you own or lease the required land/pond as described (Pond size between 0.10 and 0.5 hectare)?,Other - Pond,Pond size between 0.10 and 0.5 hectare?,,Do you own or lease land for fish pond construction?,What is the size of the pond (in acres)?,-,-
Niji Talabon Ka Jirnoddhar Ki Yojana,Fish farmer,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,Type of farming (General farming / Fish farming / Milch cattle),
Old Age Home (Sahara),"Below Poverty Line (BPL) category or annual income below ₹60,000",Does your family belong to the Below Poverty Line (BPL) category?,Belong to_Below Poverty Line (BPL) family,"Below Poverty Line (BPL) category or annual income below ₹60,000?",,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
Old Age Home (Sahara),Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Old Age Home (Sahara),Age 60 years or above,Are you 60 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Parwarish Yojana,Age between 0 and 18 years,Are you age between 0 and 18 years?,Age,What is your age?,,What is your age?,-,-,-
Parwarish Yojana,"Annual family income less than ₹60,000 or BPL",Does your family belong to the Below Poverty Line (BPL) category?,Family Income Annual,"Annual family income less than ₹60,000 or BPL?",,Annual family income ?,-,-,-
Parwarish Yojana,Orphaned/destitute children or children with HIV/AIDS/Leprosy,Are you orphaned/destitute children or children with HIV/AIDS/Leprosy?,medical diseases - (Orphaned/destitute children or children with HIV/AIDS/Leprosy),Orphaned/destitute children or children with HIV/AIDS/Leprosy?,,have any of the following medical conditions?,Orphaned/destitute children or children with HIV/AIDS/Leprosy,-,-
Pashu Bima Yojana,Member of Milk Producer Cooperation Committee,Are you a registered member of the Milk Producer Cooperative Committee?,other - Member of Milk Producer Cooperation Committee,Member of Milk Producer Cooperation Committee?,,occupation,Farmer,Type of farming (General farming / Fish farming / Milch cattle),Are you a member of a Milk Producer Cooperative Committee?
Pashu Bima Yojana,Cattle must be healthy and certified by a vet,Are you cattle must be healthy and certified by a vet?,Other - Cattle health,Cattle must be healthy and certified by a vet?,,occupation,Farmer,Type of farming (General farming / Fish farming / Milch cattle),Are your cattle healthy and certified by a veterinary doctor?
Pashu Bima Yojana,Farmer of milch cattle,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,Type of farming (General farming / Fish farming / Milch cattle),
Paternity Benefit Scheme (BBOCWWB),Male construction worker registered with BBOCWWB,Are you a construction worker registered with the board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Paternity Benefit Scheme (BBOCWWB),Wife must not be registered with the Board,Are you registered with the required authority (Wife must not be registered with the Board)?,Other - (BBOCWWB),Wife must not be registered with the Board?,,,-,-,-
Paternity Benefit Scheme (BBOCWWB),Applicable for the first two childbirths only,Are you applicable for the first two childbirths only?,Children,Applicable for the first two childbirths only?,,How many children do you have?,"0,1,2 , 3or more",-,-
Paternity Benefit Scheme (BBOCWWB),Active membership for at least one year,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership for at least one year?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Pathari Kshetr Talab Nirman Aadharit Matsya Paalan ki Yojana,Must own or lease land in identified plateau-dominated districts of Bihar,Do you own or lease land in an identified plateau-dominated district of Bihar?,Other - Pond,Must own or lease land in identified plateau-dominated districts of Bihar?,,Do you own or lease land for fish pond construction?,-,-,-
Pathari Kshetr Talab Nirman Aadharit Matsya Paalan ki Yojana,Pond size must be between 0.4 acre and 1 acre,Do you own or lease the required land/pond as described (Pond size must be between 0.4 acre and 1 acre)?,Other - Pond size acres,Pond size must be between 0.4 acre and 1 acre?,,Do you own or lease land for fish pond construction?,What is the size of the pond (in acres)?,-,-
Pathari Kshetr Talab Nirman Aadharit Matsya Paalan ki Yojana,Must install a concrete board on the pond,Do you own or lease the required land/pond as described (Must install a concrete board on the pond)?,Other - Pond,Must install a concrete board on the pond?,,Do you own or lease land for fish pond construction?,Have you installed a concrete board on the pond?,-,-
Pension Scheme (BBOCWWB),Registered construction worker with BBOCWWB,Are you a construction worker registered with the (BBOCWWB) Bihar Building & Other Construction Workers Welfare Board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Pension Scheme (BBOCWWB),Age 60 years or older,Are you 60 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Pension Scheme (BBOCWWB),Not receiving pension from any other social security scheme,Are you not receiving pension from any other social security scheme?,occupation_construction_worker - pension,Not receiving pension from any other social security scheme?,,occupation,Construction worker,Are you currently receiving any other government or social-security pension?,-
Pension Scheme (BBOCWWB),Continuous membership for minimum 5 years,Are you a registered member of the Bihar Building & Other Construction Workers Welfare Board (BBOCWWB) for the last 5 Years?,occupation_construction_worker - membership period,Continuous membership for minimum 5 years?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Post-Matric Scholarship for Scheduled Castes (SC) and Scheduled Tribes (ST) Students-Bihar,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Post-Matric Scholarship for Scheduled Castes (SC) and Scheduled Tribes (ST) Students-Bihar,Studying in higher classes after Matriculation,Are you studying in higher classes after Matriculation?,Educational qualification: (Studying in higher classes after Matriculation),Studying in higher classes after Matriculation?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Post-Matric Scholarship for Scheduled Castes (SC) and Scheduled Tribes (ST) Students-Bihar,"Annual family income not exceeding ₹3,00,000",Is your annual family income less than or equal to ₹3?,Family Income Annual,"Annual family income not exceeding ₹3,00,000?",,Annual family income ?,-,-,-
Post-Matric Scholarship for Scheduled Castes (SC) and Scheduled Tribes (ST) Students-Bihar,Belong to SC or ST category,"Do you belong to the following category: SC, ST?",Belong to_Catogory(SC or ST),Belong to SC or ST category?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Prak Pariksha Prashikshan Kendra,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Prak Pariksha Prashikshan Kendra,"Annual family income not exceeding ₹3,00,000",Is your annual family income less than or equal to ₹3?,Family Income Annual,"Annual family income not exceeding ₹3,00,000?",,Annual family income ?,-,-,-
Prak Pariksha Prashikshan Kendra,Meet age/edu criteria for specific competitive exam,Does the individual meet the age/Education criteria for the competitive exam?,Other - age and qualification,Meet age/edu criteria for specific competitive exam?,,What is your age?,-,-,-
Prak Pariksha Prashikshan Kendra,Belong to Backward Class (BC) or Extremely Backward Class (EBC),"Do you belong to the following category: BC, EBC?",Belong to_Backward Class (BC) or Extremely Backward Class (EBC),Belong to Backward Class (BC) or Extremely Backward Class (EBC)?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Samekit Baal Vikas Chhtra Yojana: Dress for Pre-school Children,Enrolled at an Anganwadi Centre for pre-school education,Have you completed the required educational qualification (Enrolled at an Anganwadi Centre for pre-school education)?,Enrolled in School / Institution (Anganwadi Centre),Enrolled at an Anganwadi Centre for pre-school education?,,How many children do you have?,"0,1,2 , 3or more",Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Samekit Baal Vikas Chhtra Yojana: Dress for Pre-school Children,Child aged between 3 and 6 years,Is your age between 3 and 6 years?,Age,What is your age?,,What is your age?,-,-,-
Samekit Baal Vikas Chhtra Yojana: Dress for Pre-school Children,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Satat Jeevikoparjan Yojana (SJY),Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Satat Jeevikoparjan Yojana (SJY),No significant alternative livelihood sources,Are you no significant alternative livelihood sources?,Other ,No significant alternative livelihood sources?,,,-,-,-
Satat Jeevikoparjan Yojana (SJY),Belong to socially/economically vulnerable groups (SC/ST),"Do you belong to the following category: SC, ST?",Belong to_Catogory(SC or ST),Belong to socially/economically vulnerable groups (SC/ST)?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Satat Jeevikoparjan Yojana (SJY),Belong to ultra-poor household,Do you belong to ultra-poor household?,Belong to_ultra-poor household,Belong to ultra-poor household?,,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
Scheme for Adolescent Girls- Bihar,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Scheme for Adolescent Girls- Bihar,Not currently attending school,Are you not currently attending school?,Educational qualification: (Not currently attending school),Not currently attending school?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify), Not currently attending school",-,-
Scheme for Adolescent Girls- Bihar,Adolescent girl aged 11 to 14 years,Are you adolescent girl aged 11 to 14 years?,Age,What is your age?,,What is your age?,-,-,-
Supplementary Nutrition Programme- Bihar,Children aged 6 months to 6 years,Are you children aged 6 months to 6 years?,Age,What is your age?,,What is your age?,-,-,-
Supplementary Nutrition Programme- Bihar,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Supplementary Nutrition Programme- Bihar,Pregnant women and lactating mothers,Are you pregnant women and lactating mothers?,Pregnant woman or nursing/lactating mother ,Pregnant women and lactating mothers?,,Any currently pregnant or a lactating/nursing (breastfeeding) mother?,-,-,-
Supplementary Nutrition Programme- Bihar,Enrolled in Anganwadi centers,Are you enrolled in Anganwadi centers?,Enrolled in School / Institution (Anganwadi Centre),Enrolled in Anganwadi centers?,,How many children do you have?,"0,1,2 , 3or more",Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Talab Matsyiki Vishesh Sahayata Yojana (Anusuchit Jaati/Janajati/Ati Pichhada),Pond size minimum 0.5 acre,Do you own or lease the required land/pond as described (Pond size minimum 0.5 acre)?,Other - Pond size acres,Pond size minimum 0.5 acre?,,Do you own or lease land for fish pond construction?,What is the size of the pond (in acres)?,-,-
Talab Matsyiki Vishesh Sahayata Yojana (Anusuchit Jaati/Janajati/Ati Pichhada),Maximum 1 acre per family,Are you maximum 1 acre per family?,Other - Pond,How many acres of land do you own?,,Do you own or lease land for fish pond construction?,-,-,-
Talab Matsyiki Vishesh Sahayata Yojana (Anusuchit Jaati/Janajati/Ati Pichhada),"Belong to SC, ST, or Most Backward Classes","Do you belong to the following category: SC, ST, ST?","Belong to_SC, ST or Most Backward Class","Belong to SC, ST, or Most Backward Classes?",,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Talab Matsyiki Vishesh Sahayata Yojana (Anusuchit Jaati/Janajati/Ati Pichhada),Private or leased land available for pond construction,Do you have private or leased land available that can be used for pond construction?,Other - Pond,Private or leased land available for pond construction?,,Do you own or lease land for fish pond construction?,-,-,-
